"","Year","State","Type","Measure","Material","Value","Chemical"
"25",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(FLUXAPYROXAD = 138009)","3,900","FUNGICIDE"
"26",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(FOSETYL-AL = 123301)","34,200","FUNGICIDE"
"27",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(ISOFETAMID = 270000)","(D)","FUNGICIDE"
"28",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(MEFENOXAM = 113502)","9,300","FUNGICIDE"
"29",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(MONO-POTASSIUM SALT = 76416)","(D)","FUNGICIDE"
"30",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(MYCLOBUTANIL = 128857)","5,600","FUNGICIDE"
"31",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(PENTHIOPYRAD = 90112)","7,000","FUNGICIDE"
"32",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(POLYOXIN D ZINC SALT = 230000)","1,400","FUNGICIDE"
"33",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(POTASSIUM BICARBON. = 73508)","11,300","FUNGICIDE"
"34",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(PROPICONAZOLE = 122101)","1,600","FUNGICIDE"
"35",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(PYRACLOSTROBIN = 99100)","7,400","FUNGICIDE"
"36",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(PYRIMETHANIL = 288201)","9,300","FUNGICIDE"
"37",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(QUINOLINE = 55459)","4,800","FUNGICIDE"
"38",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(STREPTOMYCES LYDICUS = 6327)","(NA)","FUNGICIDE"
"39",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(SULFUR = 77501)","686,000","FUNGICIDE"
"40",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(TETRACONAZOLE = 120603)","600","FUNGICIDE"
"41",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(THIOPHANATE-METHYL = 102001)","3,300","FUNGICIDE"
"42",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(THIRAM = 79801)","90,900","FUNGICIDE"
"43",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(TOTAL)","1,233,500","FUNGICIDE"
"44",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(TRICHODERMA HARZ. = 119202)","(NA)","FUNGICIDE"
"45",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(TRIFLOXYSTROBIN = 129112)","4,200","FUNGICIDE"
"46",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(TRIFLUMIZOLE = 128879)","7,200","FUNGICIDE"
"47",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(CARFENTRAZONE-ETHYL = 128712)","200","HERBICIDE"
"48",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(FLUMIOXAZIN = 129034)","1,100","HERBICIDE"
"49",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(GLUFOSINATE-AMMONIUM = 128850)","(D)","HERBICIDE"
"50",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(GLYPHOSATE ISO. SALT = 103601)","(D)","HERBICIDE"
"51",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(GLYPHOSATE POT. SALT = 103613)","(D)","HERBICIDE"
"52",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(NAPROPAMIDE = 103001)","(D)","HERBICIDE"
"53",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(OXYFLUORFEN = 111601)","1,300","HERBICIDE"
"54",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(PARAQUAT = 61601)","(D)","HERBICIDE"
"55",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(PENDIMETHALIN = 108501)","5,500","HERBICIDE"
"56",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(SULFENTRAZONE = 129081)","(D)","HERBICIDE"
"57",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(TOTAL)","10,200","HERBICIDE"
"58",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(ABAMECTIN = 122804)","500","INSECTICIDE"
"59",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(ACEQUINOCYL = 6329)","5,400","INSECTICIDE"
"60",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(ACETAMIPRID = 99050)","2,800","INSECTICIDE"
"61",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(AZADIRACHTIN = 121701)","800","INSECTICIDE"
"62",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(BEAUVERIA BASSIANA = 128924)","(NA)","INSECTICIDE"
"63",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(BIFENAZATE = 586)","17,900","INSECTICIDE"
"64",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(BIFENTHRIN = 128825)","7,300","INSECTICIDE"
"65",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(BT KURSTAK ABTS-1857 = 6523)","(NA)","INSECTICIDE"
"66",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(BT KURSTAKI ABTS-351 = 6522)","(NA)","INSECTICIDE"
"67",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(BT KURSTAKI SA-11 = 6519)","(NA)","INSECTICIDE"
"68",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(BT SUB AIZAWAI GC-91 = 6426)","(NA)","INSECTICIDE"
"69",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(BUPROFEZIN = 275100)","(D)","INSECTICIDE"
"70",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(BURKHOLDERIA A396 CELLS & MEDIA = 6534)","(NA)","INSECTICIDE"
"71",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(CARBARYL = 56801)","(D)","INSECTICIDE"
"72",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(CHLORANTRANILIPROLE = 90100)","1,900","INSECTICIDE"
"73",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(CHLORPYRIFOS = 59101)","(D)","INSECTICIDE"
"74",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329)","(NA)","INSECTICIDE"
"75",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(CYANTRANILIPROLE = 90098)","900","INSECTICIDE"
"76",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(CYFLUMETOFEN = 138831)","5,200","INSECTICIDE"
"77",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(ETOXAZOLE = 107091)","1,200","INSECTICIDE"
"78",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(FENBUTATIN-OXIDE = 104601)","(D)","INSECTICIDE"
"79",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(FENPROPATHRIN = 127901)","6,000","INSECTICIDE"
"80",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(FENPYROXIMATE = 129131)","400","INSECTICIDE"
"81",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(FLONICAMID = 128016)","3,300","INSECTICIDE"
"82",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(FLUPYRADIFURONE = 122304)","4,800","INSECTICIDE"
"83",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(HELICOVERPA ZEA NPV = 107300)","(NA)","INSECTICIDE"
"84",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(HEXYTHIAZOX = 128849)","2,300","INSECTICIDE"
"85",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(IMIDACLOPRID = 129099)","3,500","INSECTICIDE"
"86",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(MALATHION = 57701)","56,700","INSECTICIDE"
"87",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(METHOXYFENOZIDE = 121027)","3,300","INSECTICIDE"
"88",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(NALED = 34401)","12,700","INSECTICIDE"
"89",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(NEEM OIL = 25006)","1,100","INSECTICIDE"
"90",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(NEEM OIL","51,600","INSECTICIDE"
"91",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(NOVALURON = 124002)","4,600","INSECTICIDE"
"92",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(PIPERONYL BUTOXIDE = 67501)","1,200","INSECTICIDE"
"93",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(POTASSIUM SALTS = 79021)","(D)","INSECTICIDE"
"94",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(PYRETHRINS = 69001)","200","INSECTICIDE"
"95",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(PYRIDABEN = 129105)","(D)","INSECTICIDE"
"96",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(PYRIPROXYFEN = 129032)","100","INSECTICIDE"
"97",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(SOYBEAN OIL = 31605)","(D)","INSECTICIDE"
"98",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(SPINETORAM = 110007)","2,300","INSECTICIDE"
"99",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(SPINOSAD = 110003)","600","INSECTICIDE"
"100",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(SPIROMESIFEN = 24875)","1,800","INSECTICIDE"
"101",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(SULFOXAFLOR = 5210)","1,000","INSECTICIDE"
"102",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(THIAMETHOXAM = 60109)","1,400","INSECTICIDE"
"103",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(TOTAL)","212,600","INSECTICIDE"
"104",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(ZETA-CYPERMETHRIN = 129064)","(D)","INSECTICIDE"
"105",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(ACIBENZOLAR-S-METHYL = 61402)","(D)","OTHER"
"106",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(AUREOBASIDIUM PULLULANS DSM 14940 = 46010)","(NA)","OTHER"
"107",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(AUREOBASIDIUM PULLULANS DSM 14941 = 36010)","(NA)","OTHER"
"108",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(BT KURSTAKI SA-12 = 6518)","(NA)","OTHER"
"109",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(CAPRIC ACID = 128955)","(D)","OTHER"
"110",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(CAPRYLIC ACID = 128919)","(D)","OTHER"
"111",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(CHLOROPICRIN = 81501)","6,146,600","OTHER"
"112",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(DICHLOROPROPENE = 29001)","1,045,700","OTHER"
"113",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(FLUTRIAFOL = 128940)","1,700","OTHER"
"114",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(GLIOCLADIUM VIRENS = 129000)","(D)","OTHER"
"115",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(HYDROGEN PEROXIDE = 595)","(D)","OTHER"
"116",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(IRON PHOSPHATE = 34903)","100","OTHER"
"117",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(METALDEHYDE = 53001)","(D)","OTHER"
"118",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(METAM-POTASSIUM = 39002)","254,000","OTHER"
"119",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(METAM-SODIUM = 39003)","244,000","OTHER"
"120",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(PAECILOMYCES FUMOSOR = 115002)","(D)","OTHER"
"121",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(PEROXYACETIC ACID = 63201)","(D)","OTHER"
"122",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(POTASSIUM SILICATE = 72606)","(D)","OTHER"
"123",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(REYNOUTRIA SACHALINE = 55809)","600","OTHER"
"124",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(TOTAL)","7,698,900","OTHER"
"125",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB","(TRICHODERMA VIRENS STRAIN G-41 = 176604)","(NA)","OTHER"
"126",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB"," ","668,000","(NITROGEN)"
"127",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB"," ","493,000","(PHOSPHATE)"
"128",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB"," ","430,000","(POTASH)"
"129",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB"," ","57,000","(SULFUR)"
"130",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(AZOXYSTROBIN = 128810)","0.205","FUNGICIDE"
"131",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(BACILLUS AMYLOLIQUEFACIENS MBI 600 = 129082)","(NA)","FUNGICIDE"
"132",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)","(NA)","FUNGICIDE"
"133",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(BACILLUS PUMILUS = 6485)","(NA)","FUNGICIDE"
"134",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(BACILLUS SUBT. GB03 = 129068)","(NA)","FUNGICIDE"
"135",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(BACILLUS SUBTILIS = 6479)","(NA)","FUNGICIDE"
"136",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(BLAD = 30006)","0.482","FUNGICIDE"
"137",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(BORAX DECAHYDRATE = 11102)","0.023","FUNGICIDE"
"138",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(BOSCALID = 128008)","0.337","FUNGICIDE"
"139",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(BT SUBSP KURSTAKI EVB-113-19 = 6544)","(NA)","FUNGICIDE"
"140",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(CAPTAN = 81301)","1.739","FUNGICIDE"
"141",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(COPPER HYDROXIDE = 23401)","(D)","FUNGICIDE"
"142",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(COPPER OCTANOATE = 23306)","(D)","FUNGICIDE"
"143",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(CYFLUFENAMID = 555550)","0.023","FUNGICIDE"
"144",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(CYPRODINIL = 288202)","0.32","FUNGICIDE"
"145",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(DIFENOCONAZOLE = 128847)","0.114","FUNGICIDE"
"146",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(FENHEXAMID = 90209)","0.623","FUNGICIDE"
"147",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(FLUDIOXONIL = 71503)","0.213","FUNGICIDE"
"148",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(FLUOPYRAM = 80302)","0.113","FUNGICIDE"
"149",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(FLUXAPYROXAD = 138009)","0.168","FUNGICIDE"
"150",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(FOSETYL-AL = 123301)","3.997","FUNGICIDE"
"151",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(ISOFETAMID = 270000)","(D)","FUNGICIDE"
"152",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(MEFENOXAM = 113502)","0.493","FUNGICIDE"
"153",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(MONO-POTASSIUM SALT = 76416)","(D)","FUNGICIDE"
"154",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(MYCLOBUTANIL = 128857)","0.106","FUNGICIDE"
"155",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(PENTHIOPYRAD = 90112)","0.303","FUNGICIDE"
"156",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(POLYOXIN D ZINC SALT = 230000)","0.073","FUNGICIDE"
"157",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(POTASSIUM BICARBON. = 73508)","2.381","FUNGICIDE"
"158",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(PROPICONAZOLE = 122101)","0.112","FUNGICIDE"
"159",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(PYRACLOSTROBIN = 99100)","0.169","FUNGICIDE"
"160",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(PYRIMETHANIL = 288201)","0.51","FUNGICIDE"
"161",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(QUINOLINE = 55459)","0.097","FUNGICIDE"
"162",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(STREPTOMYCES LYDICUS = 6327)","(NA)","FUNGICIDE"
"163",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(SULFUR = 77501)","3.656","FUNGICIDE"
"164",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(TETRACONAZOLE = 120603)","0.039","FUNGICIDE"
"165",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(THIOPHANATE-METHYL = 102001)","0.669","FUNGICIDE"
"166",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(THIRAM = 79801)","2.219","FUNGICIDE"
"167",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(TRICHODERMA HARZ. = 119202)","(NA)","FUNGICIDE"
"168",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(TRIFLOXYSTROBIN = 129112)","0.113","FUNGICIDE"
"169",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(TRIFLUMIZOLE = 128879)","0.23","FUNGICIDE"
"170",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(CARFENTRAZONE-ETHYL = 128712)","0.024","HERBICIDE"
"171",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(FLUMIOXAZIN = 129034)","0.089","HERBICIDE"
"172",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(GLUFOSINATE-AMMONIUM = 128850)","(D)","HERBICIDE"
"173",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(GLYPHOSATE ISO. SALT = 103601)","(D)","HERBICIDE"
"174",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(GLYPHOSATE POT. SALT = 103613)","(D)","HERBICIDE"
"175",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(NAPROPAMIDE = 103001)","(D)","HERBICIDE"
"176",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(OXYFLUORFEN = 111601)","0.313","HERBICIDE"
"177",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(PARAQUAT = 61601)","(D)","HERBICIDE"
"178",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(PENDIMETHALIN = 108501)","1.202","HERBICIDE"
"179",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(SULFENTRAZONE = 129081)","(D)","HERBICIDE"
"180",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(ABAMECTIN = 122804)","0.019","INSECTICIDE"
"181",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(ACEQUINOCYL = 6329)","0.297","INSECTICIDE"
"182",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(ACETAMIPRID = 99050)","0.126","INSECTICIDE"
"183",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(AZADIRACHTIN = 121701)","0.034","INSECTICIDE"
"184",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(BEAUVERIA BASSIANA = 128924)","(NA)","INSECTICIDE"
"185",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(BIFENAZATE = 586)","0.496","INSECTICIDE"
"186",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(BIFENTHRIN = 128825)","0.109","INSECTICIDE"
"187",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(BT KURSTAK ABTS-1857 = 6523)","(NA)","INSECTICIDE"
"188",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(BT KURSTAKI ABTS-351 = 6522)","(NA)","INSECTICIDE"
"189",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(BT KURSTAKI SA-11 = 6519)","(NA)","INSECTICIDE"
"190",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(BT SUB AIZAWAI GC-91 = 6426)","(NA)","INSECTICIDE"
"191",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(BUPROFEZIN = 275100)","(D)","INSECTICIDE"
"192",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(BURKHOLDERIA A396 CELLS & MEDIA = 6534)","(NA)","INSECTICIDE"
"193",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(CARBARYL = 56801)","(D)","INSECTICIDE"
"194",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(CHLORANTRANILIPROLE = 90100)","0.067","INSECTICIDE"
"195",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(CHLORPYRIFOS = 59101)","(D)","INSECTICIDE"
"196",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329)","(NA)","INSECTICIDE"
"197",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(CYANTRANILIPROLE = 90098)","0.111","INSECTICIDE"
"198",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(CYFLUMETOFEN = 138831)","0.178","INSECTICIDE"
"199",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(ETOXAZOLE = 107091)","0.135","INSECTICIDE"
"200",2019,"CALIFORNIA","BEARING - APPLICATIONS"," LB / ACRE / APPLICATION","(FENBUTATIN-OXIDE = 104601)","(D)","INSECTICIDE"
